PassengerId,Pclass,Age,SibSp,Parch,Fare,Embarked_encoded,Sex_encoded
179,2,30.0,0,0,13.0,2,1
180,3,36.0,0,0,0.0,2,1
181,3,27.9,8,2,69.55,2,0
182,2,30.7,0,0,15.05,0,1
183,3,9.0,4,2,31.39,2,1
184,2,1.0,2,1,39.0,2,1
185,3,4.0,0,2,22.02,2,0
186,1,30.7,0,0,50.0,2,1
187,3,27.9,1,0,15.5,1,0
188,1,45.0,0,0,26.55,2,1
189,3,40.0,1,1,15.5,1,1
190,3,36.0,0,0,7.9,2,1
191,2,32.0,0,0,13.0,2,0
192,2,19.0,0,0,13.0,2,1
193,3,19.0,1,0,7.85,2,0
194,2,3.0,1,1,26.0,2,1
195,1,44.0,0,0,27.72,0,0
196,1,58.0,0,0,146.52,0,0
197,3,30.7,0,0,7.75,1,1
198,3,42.0,0,1,8.4,2,1
199,3,27.9,0,0,7.75,1,0
200,2,24.0,0,0,13.0,2,0
201,3,28.0,0,0,9.5,2,1
202,3,30.7,8,2,69.55,2,1
203,3,34.0,0,0,6.5,2,1
204,3,45.5,0,0,7.22,0,1
205,3,18.0,0,0,8.05,2,1
206,3,2.0,0,1,10.46,2,0
207,3,32.0,1,0,15.85,2,1
208,3,26.0,0,0,18.79,0,1
209,3,16.0,0,0,7.75,1,0
210,1,40.0,0,0,31.0,0,1
211,3,24.0,0,0,7.05,2,1
212,2,35.0,0,0,21.0,2,0
213,3,22.0,0,0,7.25,2,1
214,2,30.0,0,0,13.0,2,1
215,3,30.7,1,0,7.75,1,1
216,1,31.0,1,0,113.28,0,0
217,3,27.0,0,0,7.92,2,0
218,2,42.0,1,0,27.0,2,1
219,1,32.0,0,0,76.29,0,0
220,2,30.0,0,0,10.5,2,1
221,3,16.0,0,0,8.05,2,1
222,2,27.0,0,0,13.0,2,1
223,3,51.0,0,0,8.05,2,1
224,3,30.7,0,0,7.9,2,1
225,1,38.0,1,0,90.0,2,1
226,3,22.0,0,0,9.35,2,1
227,2,19.0,0,0,10.5,2,1
228,3,20.5,0,0,7.25,2,1
229,2,18.0,0,0,13.0,2,1
230,3,27.9,3,1,25.47,2,0
231,1,35.0,1,0,83.47,2,0
232,3,29.0,0,0,7.78,2,1
233,2,59.0,0,0,13.5,2,1
234,3,5.0,4,2,31.39,2,0
235,2,24.0,0,0,10.5,2,1
236,3,27.9,0,0,7.55,2,0
237,2,44.0,1,0,26.0,2,1
238,2,8.0,0,2,26.25,2,0
239,2,19.0,0,0,10.5,2,1
240,2,33.0,0,0,12.28,2,1
241,3,27.9,1,0,14.45,0,0
242,3,27.9,1,0,15.5,1,0
243,2,29.0,0,0,10.5,2,1
244,3,22.0,0,0,7.12,2,1
245,3,30.0,0,0,7.22,0,1
246,1,44.0,2,0,90.0,1,1
247,3,25.0,0,0,7.78,2,0
248,2,24.0,0,2,14.5,2,0
249,1,37.0,1,1,52.55,2,1
250,2,54.0,1,0,26.0,2,1
251,3,30.7,0,0,7.25,2,1
252,3,29.0,1,1,10.46,2,0
253,1,62.0,0,0,26.55,2,1
254,3,30.0,1,0,16.1,2,1
255,3,41.0,0,2,20.21,2,0
256,3,29.0,0,2,15.25,0,0
257,1,27.9,0,0,79.2,0,0
258,1,30.0,0,0,86.5,2,0
259,1,35.0,0,0,512.33,0,0
260,2,50.0,0,1,26.0,2,0
261,3,30.7,0,0,7.75,1,1
262,3,3.0,4,2,31.39,2,1
263,1,52.0,1,1,79.65,2,1
264,1,40.0,0,0,0.0,2,1
265,3,27.9,0,0,7.75,1,0
266,2,36.0,0,0,10.5,2,1
267,3,16.0,4,1,39.69,2,1
268,3,25.0,1,0,7.78,2,1
269,1,58.0,0,1,153.46,2,0
270,1,35.0,0,0,135.63,2,0
271,1,30.7,0,0,31.0,2,1
272,3,25.0,0,0,0.0,2,1
273,2,41.0,0,1,19.5,2,0
274,1,37.0,0,1,29.7,0,1
275,3,27.9,0,0,7.75,1,0
276,1,63.0,1,0,77.96,2,0
277,3,45.0,0,0,7.75,2,0
278,2,30.7,0,0,0.0,2,1
279,3,7.0,4,1,29.12,1,1
280,3,35.0,1,1,20.25,2,0
281,3,65.0,0,0,7.75,1,1
282,3,28.0,0,0,7.85,2,1
283,3,16.0,0,0,9.5,2,1
284,3,19.0,0,0,8.05,2,1
285,1,30.7,0,0,26.0,2,1
286,3,33.0,0,0,8.66,0,1
287,3,30.0,0,0,9.5,2,1
288,3,22.0,0,0,7.9,2,1
289,2,42.0,0,0,13.0,2,1
290,3,22.0,0,0,7.75,1,0
291,1,26.0,0,0,78.85,2,0
292,1,19.0,1,0,91.08,0,0
293,2,36.0,0,0,12.88,0,1
294,3,24.0,0,0,8.85,2,0
295,3,24.0,0,0,7.9,2,1
296,1,30.7,0,0,27.72,0,1
297,3,23.5,0,0,7.23,0,1
298,1,2.0,1,2,151.55,2,0
299,1,30.7,0,0,30.5,2,1
300,1,50.0,0,1,247.52,0,0
301,3,27.9,0,0,7.75,1,0
302,3,30.7,2,0,23.25,1,1
303,3,19.0,0,0,0.0,2,1
304,2,27.9,0,0,12.35,1,0
305,3,30.7,0,0,8.05,2,1
306,1,0.92,1,2,151.55,2,1
307,1,27.9,0,0,110.88,0,0
308,1,17.0,1,0,108.9,0,0
309,2,30.0,1,0,24.0,0,1
310,1,30.0,0,0,56.93,0,0
311,1,24.0,0,0,83.16,0,0
312,1,18.0,2,2,262.38,0,0
313,2,26.0,1,1,26.0,2,0
314,3,28.0,0,0,7.9,2,1
315,2,43.0,1,1,26.25,2,1
316,3,26.0,0,0,7.85,2,0
317,2,24.0,1,0,26.0,2,0
318,2,54.0,0,0,14.0,2,1
319,1,31.0,0,2,164.87,2,0
320,1,40.0,1,1,134.5,0,0
321,3,22.0,0,0,7.25,2,1
322,3,27.0,0,0,7.9,2,1
323,2,30.0,0,0,12.35,1,0
324,2,22.0,1,1,29.0,2,0
325,3,30.7,8,2,69.55,2,1
326,1,36.0,0,0,135.63,0,0
327,3,61.0,0,0,6.24,2,1
328,2,36.0,0,0,13.0,2,0
329,3,31.0,1,1,20.52,2,0
330,1,16.0,0,1,57.98,0,0
331,3,27.9,2,0,23.25,1,0
332,1,45.5,0,0,28.5,2,1
333,1,38.0,0,1,153.46,2,1
334,3,16.0,2,0,18.0,2,1
335,1,27.9,1,0,133.65,2,0
336,3,30.7,0,0,7.9,2,1
337,1,29.0,1,0,66.6,2,1
338,1,41.0,0,0,134.5,0,0
339,3,45.0,0,0,8.05,2,1
340,1,45.0,0,0,35.5,2,1
341,2,2.0,1,1,26.0,2,1
342,1,24.0,3,2,263.0,2,0
343,2,28.0,0,0,13.0,2,1
344,2,25.0,0,0,13.0,2,1
345,2,36.0,0,0,13.0,2,1
346,2,24.0,0,0,13.0,2,0
347,2,40.0,0,0,13.0,2,0
348,3,27.9,1,0,16.1,2,0
349,3,3.0,1,1,15.9,2,1
350,3,42.0,0,0,8.66,2,1
351,3,23.0,0,0,9.22,2,1
352,1,30.7,0,0,35.0,2,1
353,3,15.0,1,1,7.23,0,1
354,3,25.0,1,0,17.8,2,1
355,3,30.7,0,0,7.22,0,1
356,3,28.0,0,0,9.5,2,1
357,1,22.0,0,1,55.0,2,0
358,2,38.0,0,0,13.0,2,0
359,3,27.9,0,0,7.88,1,0
360,3,27.9,0,0,7.88,1,0
361,3,40.0,1,4,27.9,2,1
362,2,29.0,1,0,27.72,0,1
363,3,45.0,0,1,14.45,0,0
364,3,35.0,0,0,7.05,2,1
365,3,30.7,1,0,15.5,1,1
366,3,30.0,0,0,7.25,2,1
367,1,60.0,1,0,75.25,0,0
368,3,27.9,0,0,7.23,0,0
369,3,27.9,0,0,7.75,1,0
370,1,24.0,0,0,69.3,0,0
371,1,25.0,1,0,55.44,0,1
372,3,18.0,1,0,6.5,2,1
373,3,19.0,0,0,8.05,2,1
374,1,22.0,0,0,135.63,0,1
375,3,3.0,3,1,21.07,2,0
376,1,27.9,1,0,82.17,0,0
377,3,22.0,0,0,7.25,2,0
378,1,27.0,0,2,211.5,0,1
379,3,20.0,0,0,4.01,0,1
380,3,19.0,0,0,7.78,2,1
381,1,42.0,0,0,227.53,0,0
382,3,1.0,0,2,15.74,0,0
383,3,32.0,0,0,7.92,2,1
384,1,35.0,1,0,52.0,2,0
385,3,30.7,0,0,7.9,2,1
386,2,18.0,0,0,73.5,2,1
387,3,1.0,5,2,46.9,2,1
388,2,36.0,0,0,13.0,2,0
389,3,30.7,0,0,7.73,1,1
390,2,17.0,0,0,12.0,0,0
391,1,36.0,1,2,120.0,2,1
392,3,21.0,0,0,7.8,2,1
393,3,28.0,2,0,7.92,2,1
394,1,23.0,1,0,113.28,0,0
395,3,24.0,0,2,16.7,2,0
396,3,22.0,0,0,7.8,2,1
397,3,31.0,0,0,7.85,2,0
398,2,46.0,0,0,26.0,2,1
399,2,23.0,0,0,10.5,2,1
400,2,28.0,0,0,12.65,2,0
401,3,39.0,0,0,7.92,2,1
402,3,26.0,0,0,8.05,2,1
403,3,21.0,1,0,9.82,2,0
404,3,28.0,1,0,15.85,2,1
405,3,20.0,0,0,8.66,2,0
406,2,34.0,1,0,21.0,2,1
407,3,51.0,0,0,7.75,2,1
408,2,3.0,1,1,18.75,2,1
409,3,21.0,0,0,7.78,2,1
410,3,27.9,3,1,25.47,2,0
411,3,30.7,0,0,7.9,2,1
412,3,30.7,0,0,6.86,1,1
413,1,33.0,1,0,90.0,1,0
414,2,30.7,0,0,0.0,2,1
415,3,44.0,0,0,7.92,2,1
416,3,27.9,0,0,8.05,2,0
417,2,34.0,1,1,32.5,2,0
418,2,18.0,0,2,13.0,2,0
419,2,30.0,0,0,13.0,2,1
420,3,10.0,0,2,24.15,2,0
421,3,30.7,0,0,7.9,0,1
422,3,21.0,0,0,7.73,1,1
423,3,29.0,0,0,7.88,2,1
424,3,28.0,1,1,14.4,2,0
425,3,18.0,1,1,20.21,2,1
426,3,30.7,0,0,7.25,2,1
427,2,28.0,1,0,26.0,2,0
428,2,19.0,0,0,26.0,2,0
429,3,30.7,0,0,7.75,1,1
430,3,32.0,0,0,8.05,2,1
431,1,28.0,0,0,26.55,2,1
432,3,27.9,1,0,16.1,2,0
433,2,42.0,1,0,26.0,2,0
434,3,17.0,0,0,7.12,2,1
435,1,50.0,1,0,55.9,2,1
436,1,14.0,1,2,120.0,2,0
437,3,21.0,2,2,34.38,2,0
438,2,24.0,2,3,18.75,2,0
439,1,64.0,1,4,263.0,2,1
440,2,31.0,0,0,10.5,2,1
441,2,45.0,1,1,26.25,2,0
442,3,20.0,0,0,9.5,2,1
443,3,25.0,1,0,7.78,2,1
444,2,28.0,0,0,13.0,2,0
445,3,30.7,0,0,8.11,2,1
446,1,4.0,0,2,81.86,2,1
447,2,13.0,0,1,19.5,2,0
448,1,34.0,0,0,26.55,2,1
449,3,5.0,2,1,19.26,0,0
450,1,52.0,0,0,30.5,2,1
451,2,36.0,1,2,27.75,2,1
452,3,30.7,1,0,19.97,2,1
453,1,30.0,0,0,27.75,0,1
454,1,49.0,1,0,89.1,0,1
455,3,30.7,0,0,8.05,2,1
456,3,29.0,0,0,7.9,0,1
457,1,65.0,0,0,26.55,2,1
458,1,27.9,1,0,51.86,2,0
459,2,50.0,0,0,10.5,2,0
460,3,30.7,0,0,7.75,1,1
461,1,48.0,0,0,26.55,2,1
462,3,34.0,0,0,8.05,2,1
463,1,47.0,0,0,38.5,2,1
464,2,48.0,0,0,13.0,2,1
465,3,30.7,0,0,8.05,2,1
466,3,38.0,0,0,7.05,2,1
467,2,30.7,0,0,0.0,2,1
468,1,56.0,0,0,26.55,2,1
469,3,30.7,0,0,7.72,1,1
470,3,0.75,2,1,19.26,0,0
471,3,30.7,0,0,7.25,2,1
472,3,38.0,0,0,8.66,2,1
473,2,33.0,1,2,27.75,2,0
474,2,23.0,0,0,13.79,0,0
475,3,22.0,0,0,9.84,2,0
476,1,30.7,0,0,52.0,2,1
477,2,34.0,1,0,21.0,2,1
478,3,29.0,1,0,7.05,2,1
479,3,22.0,0,0,7.52,2,1
480,3,2.0,0,1,12.29,2,0
481,3,9.0,5,2,46.9,2,1
482,2,30.7,0,0,0.0,2,1
483,3,50.0,0,0,8.05,2,1
484,3,63.0,0,0,9.59,2,0
485,1,25.0,1,0,91.08,0,1
486,3,27.9,3,1,25.47,2,0
487,1,35.0,1,0,90.0,2,0
488,1,58.0,0,0,29.7,0,1
489,3,30.0,0,0,8.05,2,1
490,3,9.0,1,1,15.9,2,1
491,3,30.7,1,0,19.97,2,1
492,3,21.0,0,0,7.25,2,1
493,1,55.0,0,0,30.5,2,1
494,1,71.0,0,0,49.5,0,1
495,3,21.0,0,0,8.05,2,1
496,3,30.7,0,0,14.46,0,1
497,1,54.0,1,0,78.27,0,0
498,3,30.7,0,0,15.1,2,1
499,1,25.0,1,2,151.55,2,0
500,3,24.0,0,0,7.8,2,1
501,3,17.0,0,0,8.66,2,1
502,3,21.0,0,0,7.75,1,0
503,3,27.9,0,0,7.63,1,0
504,3,37.0,0,0,9.59,2,0
505,1,16.0,0,0,86.5,2,0
506,1,18.0,1,0,108.9,0,1
507,2,33.0,0,2,26.0,2,0
508,1,30.7,0,0,26.55,2,1
509,3,28.0,0,0,22.52,2,1
510,3,26.0,0,0,56.5,2,1
511,3,29.0,0,0,7.75,1,1
512,3,30.7,0,0,8.05,2,1
513,1,36.0,0,0,26.29,2,1
514,1,54.0,1,0,59.4,0,0
515,3,24.0,0,0,7.5,2,1
516,1,47.0,0,0,34.02,2,1
517,2,34.0,0,0,10.5,2,0
518,3,30.7,0,0,24.15,1,1
519,2,36.0,1,0,26.0,2,0
520,3,32.0,0,0,7.9,2,1
521,1,30.0,0,0,93.5,2,0
522,3,22.0,0,0,7.9,2,1
523,3,30.7,0,0,7.22,0,1
524,1,44.0,0,1,57.98,0,0
525,3,30.7,0,0,7.23,0,1
526,3,40.5,0,0,7.75,1,1
527,2,50.0,0,0,10.5,2,0
528,1,30.7,0,0,221.78,2,1
529,3,39.0,0,0,7.92,2,1
530,2,23.0,2,1,11.5,2,1
531,2,2.0,1,1,26.0,2,0
532,3,30.7,0,0,7.23,0,1
533,3,17.0,1,1,7.23,0,1
534,3,27.9,0,2,22.36,0,0
535,3,30.0,0,0,8.66,2,0
536,2,7.0,0,2,26.25,2,0
537,1,45.0,0,0,26.55,2,1
538,1,30.0,0,0,106.42,0,0
539,3,30.7,0,0,14.5,2,1
540,1,22.0,0,2,49.5,0,0
541,1,36.0,0,2,71.0,2,0
542,3,9.0,4,2,31.27,2,0
543,3,11.0,4,2,31.27,2,0
544,2,32.0,1,0,26.0,2,1
545,1,50.0,1,0,106.42,0,1
546,1,64.0,0,0,26.0,2,1
547,2,19.0,1,0,26.0,2,0
548,2,30.7,0,0,13.86,0,1
549,3,33.0,1,1,20.52,2,1
550,2,8.0,1,1,36.75,2,1
551,1,17.0,0,2,110.88,0,1
552,2,27.0,0,0,26.0,2,1
553,3,30.7,0,0,7.83,1,1
554,3,22.0,0,0,7.22,0,1
555,3,22.0,0,0,7.78,2,0
556,1,62.0,0,0,26.55,2,1
557,1,48.0,1,0,39.6,0,0
558,1,30.7,0,0,227.53,0,1
559,1,39.0,1,1,79.65,2,0
560,3,36.0,1,0,17.4,2,0
561,3,30.7,0,0,7.75,1,1
562,3,40.0,0,0,7.9,2,1
563,2,28.0,0,0,13.5,2,1
564,3,30.7,0,0,8.05,2,1
565,3,27.9,0,0,8.05,2,0
566,3,24.0,2,0,24.15,2,1
567,3,19.0,0,0,7.9,2,1
568,3,29.0,0,4,21.07,2,0
569,3,30.7,0,0,7.23,0,1
570,3,32.0,0,0,7.85,2,1
571,2,62.0,0,0,10.5,2,1
572,1,53.0,2,0,51.48,2,0
573,1,36.0,0,0,26.39,2,1
574,3,27.9,0,0,7.75,1,0
575,3,16.0,0,0,8.05,2,1
576,3,19.0,0,0,14.5,2,1
577,2,34.0,0,0,13.0,2,0
578,1,39.0,1,0,55.9,2,0
579,3,27.9,1,0,14.46,0,0
580,3,32.0,0,0,7.92,2,1
581,2,25.0,1,1,30.0,2,0
582,1,39.0,1,1,110.88,0,0
583,2,54.0,0,0,26.0,2,1
584,1,36.0,0,0,40.12,0,1
585,3,30.7,0,0,8.71,0,1
586,1,18.0,0,2,79.65,2,0
587,2,47.0,0,0,15.0,2,1
588,1,60.0,1,1,79.2,0,1
589,3,22.0,0,0,8.05,2,1
590,3,30.7,0,0,8.05,2,1
591,3,35.0,0,0,7.12,2,1
592,1,52.0,1,0,78.27,0,0
593,3,47.0,0,0,7.25,2,1
594,3,27.9,0,2,7.75,1,0
595,2,37.0,1,0,26.0,2,1
596,3,36.0,1,1,24.15,2,1
597,2,27.9,0,0,33.0,2,0
598,3,49.0,0,0,0.0,2,1
599,3,30.7,0,0,7.22,0,1
600,1,49.0,1,0,56.93,0,1
601,2,24.0,2,1,27.0,2,0
602,3,30.7,0,0,7.9,2,1
603,1,30.7,0,0,42.4,2,1
604,3,44.0,0,0,8.05,2,1
605,1,35.0,0,0,26.55,0,1
606,3,36.0,1,0,15.55,2,1
607,3,30.0,0,0,7.9,2,1
608,1,27.0,0,0,30.5,2,1
609,2,22.0,1,2,41.58,0,0
610,1,40.0,0,0,153.46,2,0
611,3,39.0,1,5,31.27,2,0
612,3,30.7,0,0,7.05,2,1
613,3,27.9,1,0,15.5,1,0
614,3,30.7,0,0,7.75,1,1
615,3,35.0,0,0,8.05,2,1
616,2,24.0,1,2,65.0,2,0
617,3,34.0,1,1,14.4,2,1
618,3,26.0,1,0,16.1,2,0
619,2,4.0,2,1,39.0,2,0
620,2,26.0,0,0,10.5,2,1
621,3,27.0,1,0,14.45,0,1
622,1,42.0,1,0,52.55,2,1
623,3,20.0,1,1,15.74,0,1
624,3,21.0,0,0,7.85,2,1
625,3,21.0,0,0,16.1,2,1
626,1,61.0,0,0,32.32,2,1
627,2,57.0,0,0,12.35,1,1
628,1,21.0,0,0,77.96,2,0
629,3,26.0,0,0,7.9,2,1
630,3,30.7,0,0,7.73,1,1
631,1,80.0,0,0,30.0,2,1
632,3,51.0,0,0,7.05,2,1
633,1,32.0,0,0,30.5,0,1
634,1,30.7,0,0,0.0,2,1
635,3,9.0,3,2,27.9,2,0
636,2,28.0,0,0,13.0,2,0
637,3,32.0,0,0,7.92,2,1
638,2,31.0,1,1,26.25,2,1
639,3,41.0,0,5,39.69,2,0
640,3,30.7,1,0,16.1,2,1
641,3,20.0,0,0,7.85,2,1
642,1,24.0,0,0,69.3,0,0
643,3,2.0,3,2,27.9,2,0
644,3,30.7,0,0,56.5,2,1
645,3,0.75,2,1,19.26,0,0
646,1,48.0,1,0,76.73,0,1
647,3,19.0,0,0,7.9,2,1
648,1,56.0,0,0,35.5,0,1
649,3,30.7,0,0,7.55,2,1
650,3,23.0,0,0,7.55,2,0
651,3,30.7,0,0,7.9,2,1
652,2,18.0,0,1,23.0,2,0
653,3,21.0,0,0,8.43,2,1
654,3,27.9,0,0,7.83,1,0
655,3,18.0,0,0,6.75,1,0
656,2,24.0,2,0,73.5,2,1
657,3,30.7,0,0,7.9,2,1
658,3,32.0,1,1,15.5,1,0
659,2,23.0,0,0,13.0,2,1
660,1,58.0,0,2,113.28,0,1
661,1,50.0,2,0,133.65,2,1
662,3,40.0,0,0,7.22,0,1
663,1,47.0,0,0,25.59,2,1
664,3,36.0,0,0,7.5,2,1
665,3,20.0,1,0,7.92,2,1
666,2,32.0,2,0,73.5,2,1
667,2,25.0,0,0,13.0,2,1
668,3,30.7,0,0,7.78,2,1
669,3,43.0,0,0,8.05,2,1
670,1,27.9,1,0,52.0,2,0
671,2,40.0,1,1,39.0,2,0
672,1,31.0,1,0,52.0,2,1
673,2,70.0,0,0,10.5,2,1
674,2,31.0,0,0,13.0,2,1
675,2,30.7,0,0,0.0,2,1
676,3,18.0,0,0,7.78,2,1
677,3,24.5,0,0,8.05,2,1
678,3,18.0,0,0,9.84,2,0
679,3,43.0,1,6,46.9,2,0
680,1,36.0,0,1,512.33,0,1
681,3,27.9,0,0,8.14,1,0
682,1,27.0,0,0,76.73,0,1
683,3,20.0,0,0,9.22,2,1
684,3,14.0,5,2,46.9,2,1
685,2,60.0,1,1,39.0,2,1
686,2,25.0,1,2,41.58,0,1
687,3,14.0,4,1,39.69,2,1
688,3,19.0,0,0,10.17,2,1
689,3,18.0,0,0,7.8,2,1
690,1,15.0,0,1,211.34,2,0
691,1,31.0,1,0,57.0,2,1
692,3,4.0,0,1,13.42,0,0
693,3,30.7,0,0,56.5,2,1
694,3,25.0,0,0,7.22,0,1
695,1,60.0,0,0,26.55,2,1
